restaurant,comment
Green China Grill,"This is the only noodle restaurant I go to in San Diego. They have the best noodles, they literally handpull it in front of you're eyes like no joke. It's pretty cool to watch: From a piece of dough to thin noodles. You can also choose your noodle sizes too. I could neva lol. I love the noodle soups along with some lamb skewers and the SNOW BEEF skewers and the chicken skewers are a MUST TRY. Also, I love the fact that they have some side dishes such as mini hot pot. They have it from beef to seafood, they even have the vegetarian options. Bringing my friends back this week. Sadly they don't open on Tuesdays. Parking is a little hard here. Also you get a 10% discount is you're paying cash. Services is amazing, super friendly staff and clean environments. Good vibes overall."
Green China Grill,"Definitely some of the best noodles I've had in San Diego by far and they offer quite the range of Chinese noodle preparations and other side-offerings (soups, hotpots, skewers, etc.).  Their main shindig would be their freshly made noodles though, which you have a pretty neat opening into the kitchen so you can see BOH making them.  Great for casual dining.  Note their cash discount (10%).  Parking on Convoy is always a bit dicey, but we got lucky in the Plaza right outside.  Generally service was good, though food took a bit to reach us (slightly over 20min) by virtue of the lunch rush.  QR code opens up their digital menu, but ordering placed with waitstaff face to face.They have a range of six noodle thicknesses (pictured) that give you options changing their thicknesses and profile (flat/thin).  You also have the option for hand-pulled or knife cut / sliced.  Bit of choice paralysis, but we ended up going for their braised beef noodle soup (sliced, default size) and cumin lamb fried noodles (flat noodles).==Beef Noodle soup==  Bowl of soul soothing goodness.  Simple and hearty, yet delicious.  Broth by itself was fairly light on seasoning, but adjusted to a great spot with spicy sauce on the side.  Came with some fresh cilantro and radishes.  The beef was pretty potent on flavor.  But the noodles?  Oh, they were perfect: great chew and heft, chunky sizes going from thick to thin (from the knife cut).  Couldn't ask for more.==Lamb Fried Noodles==  These tasted pretty good; lamb flavor throughout everything, the thick noodle texture was really on point.  Bit on the greasier side for fried noodles, but not an unexpected amount.  Unfortunately, a sour point was that we only got three (3) small-medium sized pieces of lamb in the whole thing (pictured is the only med piece we had).  Given the price markup this feels like we got shortchanged (+$4 for lamb).  I let it slide given the price of meats lately and we were visiting, but more local folks that come more often should pay some heed."
Green China Grill,thank you Kevin
Green China Grill,"BIG fans of Green China Grill. We flip back and forth between Din Tai Fung and Green China Grill a few times a month.Our favorite dishes at Green China Grill are the choice of three cold dishes (we usually go with the mushrooms, tofu noodles, and cucumber), and (of course) the hand-pulled noodles. We always get the wide ones with the spicy hot oil. Also, we recently discovered the cucumber and sesame paste noodles and they are AMAZING.We don't eat animals (ok, the occasional poke bowl or sushi or oyster), so this is perfect for us.Oh, and great service too."
Green China Grill,"ANYONE who rates Green China Grill lower than 4 stars either doesn't know good food, or has a major chip on their shoulder and wants to show off to their friends. When it comes to Chinese, hand-pulled noodles, this place definitely rates 5 stars. Period.In our continuing Convoy quest, my wife and I stopped by Green China Grill last night. We ordered the spicy biang biang noodles, spicy lamb skewers, beef pancake, and a couple beers. The biang biang noodles were exceptionally good -- probably the best noodles I've ever had (and I've had MANY, all around the world). The lamb skewers and beef pancake were also very good.Definitely a place we'll be back to as we work our way up and down Convoy..."
Green China Grill,"Contemplating between 4 star or 5 stars.  I ordered #1 noodle and #2 noodle dish on 2 different occasions.I am happy with the noodles here first of all.There are choices on the size of the noodles.  Chose default one and thicker one.  Both good experience.  It has good texture.  Not too sure about the topping.  The beef on both of the serving was good, but I guess I am just used to ramen bowls with bunch of toppings.  But maybe that's comparing apples and bananas.  Perhaps not a good comparison, maybe this dish is served exactly the way it is supposed to be served.Now for the broth.  I thought initially it was bland.  But is it?  There is some sort of umami flavor there I cannot figure out.  And it keeps me sipping on the broth.  Not sure how they made it.  But it's actually has the depth in flavor I am looking for in a soup dish.  Granted I had to come here twice to come to this conclusion.  Lol. But good broth, so 5 stars."
Green China Grill,"A+ manager,  Chris! He was incredibly hospitable and thorough.  If i had a restaurant. I would want to hire him. Hand pulled noodles with shrimp were excellent.All of the appetizers,  cucumbers,  tofu skin, blanched potatoes and seaweed eye very refreshing. Only one star off because some of the dishes were spicy without any indication on the menu,  so my mom couldn't enjoy them. I recommend that they indicate on the menu :)Oh the fried bread slices were unique.  I liked them,  but my mom earned thrilled with the seasoning.Best thing was that they closed to let their staff eat between lunch and dinner time,  but didn't kick us out. They let us finish our meal in peace.  Awesome. Side note:This place has a sign up about being halal. I had to look it up. It's a Muslim practice when they slaughter their beef.  It's a particular way and is done with a specific prayer.  I wondered if they had non halal, regular options,  but it seems that they didn't.  So, good place for local muslims to eat according to their beliefs. Like kosher, which I think means certain foods are not permitted, Halal is also a way of beef preparation that includes a religious blessing.  Someone correct me if I am wrong."
Green China Grill,"Came back and this time had the tomato egg dish with default size noodles. Unfortunately a little too sweet for me. It was tasty otherwise. A huge of amount of noodles that I wish they gave a little bit more of the tomato egg for.That being said, service was still top notch and super friendly! Still highly recommend this place but stick with the soups."
Green China Grill,"Such delicious food in a really unassuming place. A cool part of this place is that you can see through a glass window and watch your noodles get freshly pulled/cooked. Also for the noodle dishes you can choose the thickness and cut of your noodles! Service was also really friendly and fast. I tried the braised beef noodle soup with thin noodles. The broth is so clear and really good flavor without being oily. The noodles had a nice chewiness to them too. My partner got the spinach sirloin noodle soup with extra thin noodles. We were surprised to see that the noodles actually had a green color to them! Probably from the spinach. But he said the spinach flavor didn't really come through. Between the sirloin and the braised beef, the sirloin ended up being a little more tender but the braised beef had a stronger flavor.I personally thought the prices were a little high but the quality of food was really good and with the friendly service I would definitely still recommend this place!"
Green China Grill,"When I got here at 1:30pm on a Sunday, I saw a line out the door. There was a waitlist and it took about 20 mins for me to be seated. The restaurant shouts authenticity. From the window featuring a hand-pulled noodles show to the customer base (mostly mainland Chinese), I knew I was getting good Chinese food. I ordered all the popular menu items per the suggestion of my excellent host (he has an extremely funny personality and he even gave us a side of cold appetizers because it was our first time!!) and everything was soo soo good! Since the noodles are pulled fresh to order, it did take a bit of time (15 mins?) for it to come out but it was totally worth the wait! Come here if you want to make your tummy happy!! :D"
